條碼	書名/刊名	著（譯）者	初版社	版本	卷/冊次	櫃位編號	出版日期	入庫日期	I.健康養生	館藏別	語文	附CD/DVD
JAA00001	白陽寶典1980~1998 新加坡		天道之光出版社			A11	1999/9	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00002	白陽寶典1979~2011 歷代皇母慈訓		天道之光出版社			A11	2013/2	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00003	白陽寶典1979~2014 歷代皇母慈訓,皇母訓子十誡		天道之光出版社			A11	2014/9	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00004	白陽寶典1982~1996 美國		天道之光出版社			A11	2000/6	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00005	白陽寶典1989~1999 日本		天道之光出版社			A11	2014/8	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00006	白陽寶典1990：1998 澳洲		天道之光出版社			A11	1999/10/1	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00007	白陽寶典1990~2000 東馬		天道之光出版社			A11	2005/7	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00008	白陽寶典1991~1999 澳門 		天道之光出版社			A11	2005/9	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00009	白陽寶典1991~1999 香港		天道之光出版社			A11	2005/8	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00010	白陽寶典1993癸酉82國內		天道之光出版社			A11	2000/5	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00011	白陽寶典1994甲戌83國內		天道之光出版社			A11	1999/7	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00012	白陽寶典1992壬申 國內		天道之光出版社			A11	1997/8	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00013	白陽寶典1991辛未80國內		天道之光出版社			A11	1998/10	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00014	白陽寶典1995乙亥84國內		天道之光出版社			A11	1997/6	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00015	白陽寶典1998戊寅87國內		天道之光出版社			A11	2000/9	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00016	白陽寶典2004新馬泰		天道之光出版社			A11	2006/10	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00017	白陽寶典2004各國		天道之光出版社			A11	2008/1	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00018	白陽寶典2005乙酉94國內		天道之光出版社			A11	2007/6	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00019	白陽寶典2005新馬泰		天道之光出版社			A11	2008/5	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00020	白陽寶典2005印菲		天道之光出版社			A11	2008/11	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00021	白陽寶典2005各國		天道之光出版社			A11	2009/2	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00022	白陽寶典2006丙戌95國內		天道之光出版社			A11	2009/8	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00023	白陽寶典2006新馬泰		天道之光出版社			A11	2009/6	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00024	白陽寶典2006印菲		天道之光出版社			A11	2009/11	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00025	白陽寶典2007丁亥96國內		天道之光出版社			A11	2011/8	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00026	白陽寶典2007印菲		天道之光出版社			A11	2010/5	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00027	白陽寶典2007其他國家		天道之光出版社			A11	2010/8	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00028	白陽寶典2008國內		天道之光出版社			A11	2012/5	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00029	白陽寶典2009印菲		天道之光出版社			A11	2014/7	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00030	白陽寶典2010泰國		天道之光出版社			A11	2015/4	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00031	白陽寶典2010印菲		天道之光出版社			A11	2014/9	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00032	白陽寶典2010各國		天道之光出版社			A11	2015/5	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00033	白陽寶典2011泰國		天道之光出版社			A11	2015/8	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00034	白陽寶典2011各國		天道之光出版社			A11	2016/3	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00035	白陽寶典2012泰國		天道之光出版社			A11	2016/12	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00036	白陽寶典2012印菲		天道之光出版社			A11	2016/6	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00037	白陽寶典2012其他國家		天道之光出版社			A11	2016/12	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00038	白陽寶典2013泰國		天道之光出版社			A12	2017/3	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00039	白陽寶典2013印菲		天道之光出版社			A12	2017/1	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00040	白陽寶典2012培德懺悔班		天道之光出版社			A12	2013/2	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00041	白陽寶典2008佛規愿行班		天道之光出版社			A12	2009/4	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00042	白陽寶典1997感恩懺悔班		天道之光出版社			A12	2008/1	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00043	白陽寶典2014傳承精進班		天道之光出版社			A12	2015/2	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00044	白陽寶典2010儒志願行班		天道之光出版社			A12	2011/9	2017/10/9	A.訓文類	峨眉書院	華語	
JAA00045	白陽寶典1998感恩精進班		天道之光出版社			A12	2006/9	2017/10/9	A.訓文類	峨眉書院	華語	
